x,y,z
5.400000000000000286e-03,3.000000000000000444e-01,-1.535624214891030074e-03
5.400000000000000286e-03,3.000000000000000444e-01,7.678121074455157959e-04
5.400000000000000286e-03,3.000000000000000444e-01,3.071248429782061015e-03
5.250000000000000326e-03,3.750000000000000000e-01,-3.732419966749031797e-03
5.250000000000000326e-03,3.750000000000000000e-01,-1.492967986699612415e-03
5.250000000000000326e-03,3.750000000000000000e-01,7.464839933498070750e-04
5.250000000000000326e-03,3.750000000000000000e-01,2.985935973399225698e-03
5.100000000000000366e-03,4.500000000000000111e-01,-3.625779396270488193e-03
5.100000000000000366e-03,4.500000000000000111e-01,-1.450311758508194973e-03
5.100000000000000366e-03,4.500000000000000111e-01,7.251558792540982457e-04
5.100000000000000366e-03,4.500000000000000111e-01,2.900623517016390814e-03
4.950000000000000407e-03,5.250000000000000222e-01,-3.519138825791944588e-03
4.950000000000000407e-03,5.250000000000000222e-01,-1.407655530316777532e-03
4.950000000000000407e-03,5.250000000000000222e-01,7.038277651583895247e-04
4.950000000000000407e-03,5.250000000000000222e-01,2.815311060633555931e-03
4.800000000000000447e-03,6.000000000000000888e-01,-3.412498255313400550e-03
4.800000000000000447e-03,6.000000000000000888e-01,-1.364999302125359873e-03
4.800000000000000447e-03,6.000000000000000888e-01,6.824996510626806954e-04
4.800000000000000447e-03,6.000000000000000888e-01,2.729998604250720613e-03
4.650000000000000487e-03,6.750000000000000444e-01,-3.305857684834856945e-03
4.650000000000000487e-03,6.750000000000000444e-01,-1.322343073933942431e-03
4.650000000000000487e-03,6.750000000000000444e-01,6.611715369669719745e-04
4.650000000000000487e-03,6.750000000000000444e-01,2.644686147867885730e-03
4.499999999999999660e-03,7.500000000000000000e-01,-3.199217114356312907e-03
4.499999999999999660e-03,7.500000000000000000e-01,-1.279686845742524772e-03
4.499999999999999660e-03,7.500000000000000000e-01,6.398434228712631452e-04
4.499999999999999660e-03,7.500000000000000000e-01,2.559373691485050412e-03
4.349999999999999700e-03,8.250000000000000666e-01,-3.092576543877769302e-03
